Console,Title,Release_Date,ESRB,Publisher,Developer,Genre,UPC,PC_ID,Summary,URL
gameboy-advance,Tom and Jerry in Infurnal Escape,2003-03-14,Everyone,2K Games,Unkown,Action & Adventure,661204524060,10036,Unkown,https://www.pricecharting.com/game/gameboy-advance/tom-and-jerry-in-infurnal-escape
gameboy-advance,Tom and Jerry Magic Ring,2002-02-21,Everyone,New Kid,Unkown,Action & Adventure,661204024010,2653,Unkown,https://www.pricecharting.com/game/gameboy-advance/tom-and-jerry-magic-ring
gameboy-advance,Tom and Jerry Tales,2006-12-08,Everyone,Eidos Interactive,Unkown,Action & Adventure,788687400282,11690,Unkown,https://www.pricecharting.com/game/gameboy-advance/tom-and-jerry-tales
gameboy-advance,Tomb Raider Legend,2006-11-14,Everyone,Eidos Interactive,Unkown,Action & Adventure,788687400206,2655,Unkown,https://www.pricecharting.com/game/gameboy-advance/tomb-raider-legend
gameboy-advance,Tomb Raider the Prophecy,2002-11-13,Teen,Ubi Soft Entertainment,Ubisoft Milan,Action & Adventure,008888140351,2656,"As famed adventurer Lara Croft, armed with your twin pistols, you must embark on a journey to hunt for mystical stones of untold power before they are seized by a cult of dark mages bent on resurrecting their vile Grand Master.",https://www.pricecharting.com/game/gameboy-advance/tomb-raider-the-prophecy
gameboy-advance,Tonka On The Job,2006-11-15,Everyone,Vivendi Universal,Unkown,Action & Adventure,785138322360,11654,Unkown,https://www.pricecharting.com/game/gameboy-advance/tonka-on-the-job
gameboy-advance,Tony Hawk 2,2001-06-01,Everyone,Activision,Vicarious Visions,Extreme Sports,047875801998,2657,Unkown,https://www.pricecharting.com/game/gameboy-advance/tony-hawk-2
gameboy-advance,Tony Hawk 3,2002-03-06,Everyone,Activision,Vicarious Visions,Extreme Sports,047875802131,2658,Unkown,https://www.pricecharting.com/game/gameboy-advance/tony-hawk-3
gameboy-advance,Tony Hawk 4,2002-10-01,Everyone,Activision,Vicarious Visions,Extreme Sports,047875803916,2659,"Drop into the ultimate challenge. In the next chapter in the Tony Hawk series, pros challenge you to make your mark in huge free-roaming levels, taking on 190 progressively harder goals with no time limits to hold you back. Decide when you're ready to take on your Pro Challenge and move into the pro ranks, where it's a whole new game. Build your skills, perform all-new tricks, play up to eight players online, and show that you've got what it takes to go Pro.",https://www.pricecharting.com/game/gameboy-advance/tony-hawk-4
gameboy-advance,Tony Hawk American Sk8land,2005-10-18,Everyone,Activision,Unkown,Extreme Sports,047875809536,2660,Unkown,https://www.pricecharting.com/game/gameboy-advance/tony-hawk-american-sk8land
gameboy-advance,Tony Hawk Downhill Jam,2006-11-07,Everyone,Activision,Unkown,Extreme Sports,047875816114,10044,Unkown,https://www.pricecharting.com/game/gameboy-advance/tony-hawk-downhill-jam
gameboy-advance,Tony Hawk Kelly Slater Double Pak,2005-08-01,Everyone,Activision,Unkown,Extreme Sports,047875811874,2661,Unkown,https://www.pricecharting.com/game/gameboy-advance/tony-hawk-kelly-slater-double-pak
gameboy-advance,Tony Hawk Underground,2003-10-27,Everyone,Activision,Unkown,Extreme Sports,047875806450,2662,Unkown,https://www.pricecharting.com/game/gameboy-advance/tony-hawk-underground
gameboy-advance,Tony Hawk Underground 2,2004-10-04,Everyone,Activision,Unkown,Extreme Sports,047875807372,2663,Unkown,https://www.pricecharting.com/game/gameboy-advance/tony-hawk-underground-2
gameboy-advance,Top Gear GT Championship,2001-07-09,Everyone,Kemco,Unkown,Racing,741648007036,2664,Unkown,https://www.pricecharting.com/game/gameboy-advance/top-gear-gt-championship
gameboy-advance,Top Gear Rally,2003-10-28,Everyone,Unkown,Unkown,Racing,045496733612,2665,Unkown,https://www.pricecharting.com/game/gameboy-advance/top-gear-rally
gameboy-advance,Top Gun Combat Zone,2004-12-01,Everyone,Mastiff,Unkown,Simulation,859292000096,14075,Unkown,https://www.pricecharting.com/game/gameboy-advance/top-gun-combat-zone
gameboy-advance,Top Gun Firestorm Advance,2002-11-26,Everyone,Titus Software,Fluid Studios,Simulation,091493543778,2666,"Feel the power of the F14 in the palm of your hand! Prove yourself that you are a real top gun, overcoming breathtaking missions against challenging enemies and even compete face to face against your friends in thrilling close combat dog fighting",https://www.pricecharting.com/game/gameboy-advance/top-gun-firestorm-advance
gameboy-advance,Top Spin 2,2006-03-29,Everyone,2K Games,Unkown,Sports,710425259111,10409,Unkown,https://www.pricecharting.com/game/gameboy-advance/top-spin-2
gameboy-advance,Totally Spies,2005-11-15,Everyone,Atari,Unkown,Action & Adventure,742725270213,2667,Unkown,https://www.pricecharting.com/game/gameboy-advance/totally-spies
gameboy-advance,Totally Spies 2 Undercover,2006-11-17,Everyone 10+,Atari,Unkown,Action & Adventure,742725274174,11608,Unkown,https://www.pricecharting.com/game/gameboy-advance/totally-spies-2-undercover
gameboy-advance,Treasure Planet,2002-10-31,Everyone,Disney,Unkown,Action & Adventure,712725001339,2668,Unkown,https://www.pricecharting.com/game/gameboy-advance/treasure-planet
gameboy-advance,Tringo,2006-05-16,Everyone,Crave,Unkown,Action & Adventure,650008899252,11401,Unkown,https://www.pricecharting.com/game/gameboy-advance/tringo
gameboy-advance,Trollz Hair Affair,2005-11-01,Everyone,Ubisoft,Unkown,Action & Adventure,008888142799,2669,Unkown,https://www.pricecharting.com/game/gameboy-advance/trollz-hair-affair
gameboy-advance,TRON 2.0 Killer App,2004-10-20,Everyone,Buena Vista Interactive,Digital Eclipse,Action & Adventure,712725001452,11496,Unkown,https://www.pricecharting.com/game/gameboy-advance/tron-20-killer-app
gameboy-advance,Turbo Turtle Adventure,2002-09-14,Everyone,Majesco,Unkown,Action & Adventure,096427013136,2670,Unkown,https://www.pricecharting.com/game/gameboy-advance/turbo-turtle-adventure
gameboy-advance,Turok Evolution,2002-08-26,Teen,Acclaim,Unkown,Action & Adventure,021481522737,2671,Unkown,https://www.pricecharting.com/game/gameboy-advance/turok-evolution
gameboy-advance,Tweety and the Magic Gems,2001-07-09,Everyone,Kemco,Unkown,Action & Adventure,741648007043,2672,Unkown,https://www.pricecharting.com/game/gameboy-advance/tweety-and-the-magic-gems
gameboy-advance,Ty the Tasmanian Tiger 2 Bush Rescue,2004-10-12,Everyone,Electronic Arts,Unkown,Action & Adventure,014633148039,2673,Unkown,https://www.pricecharting.com/game/gameboy-advance/ty-the-tasmanian-tiger-2-bush-rescue
gameboy-advance,Ty the Tasmanian Tiger 3,2005-11-01,Everyone 10+,Activision,Unkown,Action & Adventure,047875751736,2674,Unkown,https://www.pricecharting.com/game/gameboy-advance/ty-the-tasmanian-tiger-3
gameboy-advance,Ultimate Arcade Games,2005-10-15,Everyone,Telegames,Unkown,Arcade,834815002146,11774,Unkown,https://www.pricecharting.com/game/gameboy-advance/ultimate-arcade-games
gameboy-advance,Ultimate Beach Soccer,2003-11-03,Everyone,Unkown,Unkown,Soccer,625904380906,2675,Unkown,https://www.pricecharting.com/game/gameboy-advance/ultimate-beach-soccer
gameboy-advance,Ultimate Brain Games,2003-03-18,Everyone,Telegames,Unkown,Puzzle,834815002030,2676,Unkown,https://www.pricecharting.com/game/gameboy-advance/ultimate-brain-games
gameboy-advance,Ultimate Card Games,2005-01-31,Everyone,Telegames,Unkown,Party,834815002085,2677,Unkown,https://www.pricecharting.com/game/gameboy-advance/ultimate-card-games
gameboy-advance,Ultimate Muscles Path Of The Superhero,2003-06-01,Teen,NAMCO/BANDAI,Banpresto,Wrestling,045557182021,2678,Unkown,https://www.pricecharting.com/game/gameboy-advance/ultimate-muscles-path-of-the-superhero
gameboy-advance,Ultimate Puzzle Games,2005-11-14,Everyone,Telegames,Unkown,Puzzle,834815002139,11773,Unkown,https://www.pricecharting.com/game/gameboy-advance/ultimate-puzzle-games
gameboy-advance,Ultimate Spiderman,2005-09-22,Everyone 10+,Activision,Unkown,Action & Adventure,047875808997,2679,Unkown,https://www.pricecharting.com/game/gameboy-advance/ultimate-spiderman
gameboy-advance,Ultimate Winter Games,2003-12-01,Everyone,Telegames,Unkown,Sports,834815002092,38650,Unkown,https://www.pricecharting.com/game/gameboy-advance/ultimate-winter-games
gameboy-advance,Unfabulous,2006-10-02,Everyone,THQ,Unkown,Action & Adventure,785138322308,11652,Unkown,https://www.pricecharting.com/game/gameboy-advance/unfabulous
gameboy-advance,Uno 52,2006-09-28,Everyone,Destination Software,Unkown,Party,802068100711,11720,Unkown,https://www.pricecharting.com/game/gameboy-advance/uno-52
gameboy-advance,Uno and Skip-Bo,2006-10-02,Everyone,Destination Software,Unkown,Party,802068100766,10410,Unkown,https://www.pricecharting.com/game/gameboy-advance/uno-and-skip-bo
gameboy-advance,Uno Freefall,2007-03-06,Everyone,Zoo Games,Unkown,Party,802068100773,11724,Unkown,https://www.pricecharting.com/game/gameboy-advance/uno-freefall
gameboy-advance,Urban Champion E-Reader,2002-01-01,Unkown,Unkown,Unkown,Other,045496732240,35856,Unkown,https://www.pricecharting.com/game/gameboy-advance/urban-champion-e-reader
gameboy-advance,Urban Yeti,2002-08-16,Teen,Telegames,Unkown,Action & Adventure,834815002023,11771,Unkown,https://www.pricecharting.com/game/gameboy-advance/urban-yeti
gameboy-advance,V-Rally 3,2002-09-30,Everyone,Atari,Unkown,Racing,742725238794,2683,Unkown,https://www.pricecharting.com/game/gameboy-advance/v-rally-3
gameboy-advance,Van Helsing,2004-05-06,Teen,Vivendi Universal,Unkown,Action & Adventure,020626722339,2680,Unkown,https://www.pricecharting.com/game/gameboy-advance/van-helsing
gameboy-advance,Veggie Tales: LarryBoy and the Bad Apple,2006-08-01,Everyone,Crave,Unkown,Action & Adventure,650008899269,2296,Unkown,https://www.pricecharting.com/game/gameboy-advance/veggie-tales-larryboy-and-the-bad-apple
gameboy-advance,Virtua Tennis,2002-10-08,Everyone,THQ,Unkown,Sports,785138321196,2681,Unkown,https://www.pricecharting.com/game/gameboy-advance/virtua-tennis
gameboy-advance,Virtual Kasparov,2002-03-31,Everyone,Unkown,Unkown,Strategy,091493544201,2682,Unkown,https://www.pricecharting.com/game/gameboy-advance/virtual-kasparov
gameboy-advance,Wacky Stackers,2002-10-01,Everyone,SVG Distribution,Unkown,Puzzle,815315000184,2684,Unkown,https://www.pricecharting.com/game/gameboy-advance/wacky-stackers
gameboy-advance,Wade Hixton's Counter Punch,2004-03-15,Teen,Destination Software,Unkown,Sports,802068100322,2685,Unkown,https://www.pricecharting.com/game/gameboy-advance/wade-hixton's-counter-punch
gameboy-advance,Wakeboarding Unleashed,2003-06-10,Unkown,Activision,Unkown,Extreme Sports,618870401300,35214,Unkown,https://www.pricecharting.com/game/gameboy-advance/wakeboarding-unleashed
gameboy-advance,Wario Land 4,2001-11-19,Everyone,"Nintendo Co., Ltd.",Nintendo,Platformer,045496731496,2686,Unkown,https://www.pricecharting.com/game/gameboy-advance/wario-land-4
gameboy-advance,Wario Ware Mega Microgames,2003-05-01,Everyone,Nintendo,Nintendo,Arcade,045496732370,2687,Unkown,https://www.pricecharting.com/game/gameboy-advance/wario-ware-mega-microgames
gameboy-advance,Wario Ware Twisted,2005-05-23,Everyone,Nintendo,Nintendo SPD,Puzzle,045496735296,2688,Unkown,https://www.pricecharting.com/game/gameboy-advance/wario-ware-twisted
gameboy-advance,Whac-A-Mole,2005-09-20,Everyone,Activision,Unkown,Action & Adventure,047875751033,2689,Unkown,https://www.pricecharting.com/game/gameboy-advance/whac-a-mole
gameboy-advance,Wild Thornberry's Chimp Chase,2001-10-05,Everyone,THQ,Unkown,Action & Adventure,785138320915,2691,Unkown,https://www.pricecharting.com/game/gameboy-advance/wild-thornberry's-chimp-chase
gameboy-advance,Wild Thornberrys Movie,2002-11-13,Everyone,THQ,Unkown,Action & Adventure,785138321165,2692,Unkown,https://www.pricecharting.com/game/gameboy-advance/wild-thornberrys-movie
gameboy-advance,Wing Commander Prophecy,2003-06-04,Teen,Electronic Arts,Unkown,Action & Adventure,802068100117,2693,Unkown,https://www.pricecharting.com/game/gameboy-advance/wing-commander-prophecy
gameboy-advance,Wings Advance,2003-02-01,Everyone,Metro3d,Unkown,Action & Adventure,650001771166,2694,Unkown,https://www.pricecharting.com/game/gameboy-advance/wings-advance
gameboy-advance,Winnie the Pooh Rumbly Tumbly Adventure,2005-02-08,Everyone,Ubisoft,Unkown,Action & Adventure,008888140092,2695,Unkown,https://www.pricecharting.com/game/gameboy-advance/winnie-the-pooh-rumbly-tumbly-adventure
gameboy-advance,Winx Club,2005-11-16,Everyone,Unkown,Unkown,Action & Adventure,083717500698,11290,Unkown,https://www.pricecharting.com/game/gameboy-advance/winx-club
gameboy-advance,Winx Club Quest for the Codex,2006-11-01,Everyone,Unkown,Unkown,Action & Adventure,083717500742,11291,Unkown,https://www.pricecharting.com/game/gameboy-advance/winx-club-quest-for-the-codex
