Console,Title,Release_Date,ESRB,Publisher,Developer,Genre,UPC,PC_ID,Summary,URL
wii,Avatar: The Game [Limited Edition],2009-12-01,Teen,Ubisoft,Ubisoft,Action & Adventure,008888195436,3748653,none,https://www.pricecharting.com/game/wii/avatar-the-game-limited-edition
wii,Avatar the Last Airbender,2006-11-13,Everyone 10+,THQ,none,Action & Adventure,785138301235,6784,none,https://www.pricecharting.com/game/wii/avatar-the-last-airbender
wii,Avatar the Last Airbender Into the Inferno,2008-10-13,Everyone 10+,none,none,Party,785138301563,15723,none,https://www.pricecharting.com/game/wii/avatar-the-last-airbender-into-the-inferno
wii,Babysitting Mama,2010-11-05,Everyone,Majesco,none,Other,096427016793,30656,none,https://www.pricecharting.com/game/wii/babysitting-mama
wii,Back to the Future,2011-10-25,Teen,Telltale Games,none,Action & Adventure,812303010224,32385,none,https://www.pricecharting.com/game/wii/back-to-the-future
wii,Backyard Baseball '10,2009-03-27,Everyone,none,none,Baseball,742725277588,18719,none,https://www.pricecharting.com/game/wii/backyard-baseball-'10
wii,Backyard Baseball '10,2009-03-27,Everyone,none,none,Baseball,742725278578,18719,none,https://www.pricecharting.com/game/wii/backyard-baseball-'10
wii,Backyard Baseball 09,2008-06-10,Everyone,none,none,Baseball,742725275829,13894,none,https://www.pricecharting.com/game/wii/backyard-baseball-09
wii,Backyard Baseball 09,2008-06-10,Everyone,none,none,Baseball,742725276734,13894,none,https://www.pricecharting.com/game/wii/backyard-baseball-09
wii,Backyard Football,2007-10-16,Everyone,Humongous,none,Football,742725275492,10345,none,https://www.pricecharting.com/game/wii/backyard-football
wii,Backyard Football '10,2009-10-20,Everyone,Atari,none,Football,742725278769,19786,none,https://www.pricecharting.com/game/wii/backyard-football-'10
wii,Backyard Football '10,2009-10-20,Everyone,Atari,none,Football,742725279452,19786,none,https://www.pricecharting.com/game/wii/backyard-football-'10
wii,Backyard Football 09,2008-10-21,Everyone,none,none,Sports,742725276680,15665,none,https://www.pricecharting.com/game/wii/backyard-football-09
wii,Backyard Football 09,2008-10-21,Everyone,none,none,Sports,742725277267,15665,none,https://www.pricecharting.com/game/wii/backyard-football-09
wii,Backyard Sports: Rookie Rush,2010-10-20,Everyone,Atari,none,Football,742725281257,30313,none,https://www.pricecharting.com/game/wii/backyard-sports-rookie-rush
wii,Backyard Sports: Sandlot Sluggers,2010-05-25,Everyone,Atari,none,Baseball,742725280342,21315,none,https://www.pricecharting.com/game/wii/backyard-sports-sandlot-sluggers
wii,Bakugan Battle Brawlers,2009-10-20,Everyone 10+,Activision,none,Fighting,047875760035,19765,none,https://www.pricecharting.com/game/wii/bakugan-battle-brawlers
wii,Bakugan Battle Brawlers,2009-10-20,Everyone 10+,Activision,none,Fighting,047875760936,19765,none,https://www.pricecharting.com/game/wii/bakugan-battle-brawlers
wii,Bakugan Battle Brawlers,2009-10-20,Everyone 10+,Activision,none,Fighting,047875760059,19765,none,https://www.pricecharting.com/game/wii/bakugan-battle-brawlers
wii,Bakugan Battle Brawlers [Toys R Us],2009-10-09,Everyone,Activision,none,Fighting,none,2253804,none,https://www.pricecharting.com/game/wii/bakugan-battle-brawlers-toys-r-us
wii,Bakugan Battle Brawlers [Walmart],,Everyone,Activision,none,Fighting,047875760950,2377940,none,https://www.pricecharting.com/game/wii/bakugan-battle-brawlers-walmart
wii,Bakugan: Defenders of the Core,2010-10-26,Everyone 10+,Activision,none,Other,047875764941,30304,none,https://www.pricecharting.com/game/wii/bakugan-defenders-of-the-core
wii,Bakugan: Defenders of the Core,2010-10-26,Everyone 10+,Activision,none,Other,047875764958,30304,none,https://www.pricecharting.com/game/wii/bakugan-defenders-of-the-core
wii,Balloon Pop,2007-10-23,Everyone,Tommo,none,Puzzle,695771900415,14114,none,https://www.pricecharting.com/game/wii/balloon-pop
wii,Balls of Fury,2007-10-05,Everyone 10+,Zoo Games,none,Sports,802068101220,7271,none,https://www.pricecharting.com/game/wii/balls-of-fury
wii,Band Hero,2009-11-03,Everyone 10+,Activision,none,Music,047875959637,19904,none,https://www.pricecharting.com/game/wii/band-hero
wii,Band Hero,2009-11-03,Everyone 10+,Activision,none,Music,886162337860,19904,none,https://www.pricecharting.com/game/wii/band-hero
wii,Band Hero Superbundle,2009-11-03,Everyone,Activision,Neversoft,Music,047875959859,19910,none,https://www.pricecharting.com/game/wii/band-hero-superbundle
wii,Barbie and Her Sisters: Puppy Rescue,2015-11-03,Rating Pending,Little Orbit,none,Action & Adventure,815403010828,36213,none,https://www.pricecharting.com/game/wii/barbie-and-her-sisters-puppy-rescue
wii,Barbie and the Three Musketeers,2009-11-03,Everyone,Activision,none,Action & Adventure,047875760271,19933,none,https://www.pricecharting.com/game/wii/barbie-and-the-three-musketeers
wii,Barbie as the Island Princess,2007-10-30,Everyone,Activision,none,Action & Adventure,047875754058,10346,none,https://www.pricecharting.com/game/wii/barbie-as-the-island-princess
wii,Barbie: Dreamhouse Party,2013-11-12,Everyone,Majesco,none,Action & Adventure,815403010293,34592,none,https://www.pricecharting.com/game/wii/barbie-dreamhouse-party
wii,Barbie: Groom and Glam Pups,2010-11-16,Everyone,none,none,Simulation,785138303857,31153,none,https://www.pricecharting.com/game/wii/barbie-groom-and-glam-pups
wii,Barbie Horse Adventures: Riding Camp,2008-10-21,Everyone,none,none,Action & Adventure,047875756953,15779,none,https://www.pricecharting.com/game/wii/barbie-horse-adventures-riding-camp
wii,"Barbie: Jet, Set & Style",2011-09-20,Everyone,THQ,none,Action & Adventure,785138304977,31748,none,https://www.pricecharting.com/game/wii/barbie-jet-set-&-style
wii,Barnyard,2006-12-04,Everyone 10+,THQ,none,Action & Adventure,785138301259,7272,none,https://www.pricecharting.com/game/wii/barnyard
wii,Baroque,2008-04-08,Teen,Atlus,Sting Entertainment,Strategy,730865700042,16424,none,https://www.pricecharting.com/game/wii/baroque
wii,Baseball Blast!,2009-09-25,Everyone,2K Games,none,Baseball,710425347009,21655,none,https://www.pricecharting.com/game/wii/baseball-blast
wii,Bass Fishing [Rod Bundle],2008-02-26,Everyone,none,none,Other,804926058394,58520,none,https://www.pricecharting.com/game/wii/bass-fishing-rod-bundle
wii,Bass Pro Shops: The Hunt,2010-05-28,Teen,none,none,Other,842892011913,21516,none,https://www.pricecharting.com/game/wii/bass-pro-shops-the-hunt
wii,Bass Pro Shops The Hunt Trophy Showdown,2011-10-19,Teen,XS Games,none,Simulation,890219002311,63142,none,https://www.pricecharting.com/game/wii/bass-pro-shops-the-hunt-trophy-showdown
wii,Bass Pro Shops The Hunt Trophy Showdown [Gun Bundle],,Teen,XS Games,none,Simulation,890219002335,63143,none,https://www.pricecharting.com/game/wii/bass-pro-shops-the-hunt-trophy-showdown-gun-bundle
wii,Bass Pro Shops: The Strike,2009-10-06,Everyone,Psyclone,none,Sports,842892011920,19663,none,https://www.pricecharting.com/game/wii/bass-pro-shops-the-strike
wii,Bass Pro Shops: The Strike [Tournament Edition],,Everyone,XS Games,none,Sports,none,5489934,none,https://www.pricecharting.com/game/wii/bass-pro-shops-the-strike-tournament-edition
wii,Bass Pro Shops: The Strike with Fishing Rod,2009-09-30,Everyone,none,none,Sports,842892011937,19665,none,https://www.pricecharting.com/game/wii/bass-pro-shops-the-strike-with-fishing-rod
wii,Batman: The Brave and the Bold,2010-09-07,Everyone 10+,Warner Bros,none,Action & Adventure,883929124428,21993,none,https://www.pricecharting.com/game/wii/batman-the-brave-and-the-bold
wii,Battalion Wars 2,2007-10-29,Teen,Nintendo,Kuju Entertainment,Strategy,045496900250,10347,"Tricked into believing that the Solar Empire is developing a devastating super-weapon, Commander Pierce and Colonel Windsor of the Anglo Isles launch a pre-emptive strike on the Coral Atolls. The world is once again at war. Drive tanks, command ships, pilot planes and direct your troops into the heart of the action in the return of the popular tactical action game for Wii.",https://www.pricecharting.com/game/wii/battalion-wars-2
wii,Battle of Giants: Dinosaurs Strike,2010-11-09,Everyone 10+,Ubisoft,Ubisoft,Fighting,008888176428,30657,none,https://www.pricecharting.com/game/wii/battle-of-giants-dinosaurs-strike
wii,Battle of the Bands,2008-04-21,Teen,THQ,none,Music,785138301570,13223,none,https://www.pricecharting.com/game/wii/battle-of-the-bands
wii,Battle Rage,2009-02-20,Teen,Destineer,Destan Entertainment,Action & Adventure,828068212032,16310,none,https://www.pricecharting.com/game/wii/battle-rage
wii,Battleship,2012-05-15,Everyone 10+,Activision,none,Action & Adventure,047875769168,32738,none,https://www.pricecharting.com/game/wii/battleship
wii,Beach Fun: Summer Challenge,2010-01-01,Everyone,Zoo Games,none,Party,802068103354,30895,none,https://www.pricecharting.com/game/wii/beach-fun-summer-challenge
wii,Beastly,2011-02-22,Everyone 10+,Storm City Entertainment,none,Action & Adventure,814157010153,35225,none,https://www.pricecharting.com/game/wii/beastly
wii,Bee Movie Game,2007-11-05,Everyone,Activision,none,Action & Adventure,047875830899,10367,none,https://www.pricecharting.com/game/wii/bee-movie-game
wii,Ben 10 Alien Force,2008-10-28,Everyone 10+,D3 Publisher,none,Action & Adventure,879278340039,15037,none,https://www.pricecharting.com/game/wii/ben-10-alien-force
wii,Ben 10: Alien Force: Vilgax Attacks,2009-10-27,Everyone 10+,D3 Publisher,Papaya Studio,Action & Adventure,879278340091,19855,none,https://www.pricecharting.com/game/wii/ben-10-alien-force-vilgax-attacks
wii,Ben 10: Galactic Racing,2011-10-18,Everyone,D3 Publisher,none,Racing,879278340237,31841,none,https://www.pricecharting.com/game/wii/ben-10-galactic-racing
wii,Ben 10: Omniverse,2012-11-13,Everyone 10+,D3 Publisher,none,Action & Adventure,879278340299,33317,none,https://www.pricecharting.com/game/wii/ben-10-omniverse
wii,Ben 10: Omniverse 2,2013-11-05,Everyone 10+,D3 Publisher,none,Action & Adventure,879278004214,34502,none,https://www.pricecharting.com/game/wii/ben-10-omniverse-2
wii,Ben 10 Protector of Earth,2007-10-30,Everyone 10+,D3 Publisher,none,Action & Adventure,879278340008,10348,none,https://www.pricecharting.com/game/wii/ben-10-protector-of-earth
wii,Ben 10 Protector of Earth,2007-10-30,Everyone 10+,D3 Publisher,none,Action & Adventure,879278345003,10348,none,https://www.pricecharting.com/game/wii/ben-10-protector-of-earth
wii,Ben 10: Ultimate Alien Cosmic Destruction,2010-10-05,Everyone 10+,D3 Publisher,none,Action & Adventure,879278340152,22107,none,https://www.pricecharting.com/game/wii/ben-10-ultimate-alien-cosmic-destruction
wii,Bermuda Triangle: Saving the Coral,2009-11-17,Everyone,Storm City Entertainment,none,Action & Adventure,814157010023,20015,none,https://www.pricecharting.com/game/wii/bermuda-triangle-saving-the-coral
wii,Beyblade: Metal Fusion Battle Fortress,2010-11-09,Everyone,Konami,Hudson,Action & Adventure,083717401117,30691,none,https://www.pricecharting.com/game/wii/beyblade-metal-fusion-battle-fortress
wii,Beyblade: Metal Fusion Battle Fortress,2010-11-09,Everyone,Konami,Hudson,Action & Adventure,083717401209,30691,none,https://www.pricecharting.com/game/wii/beyblade-metal-fusion-battle-fortress
wii,Big Beach Sports,2008-06-24,Everyone,THQ,none,Sports,785138301624,13988,Have fun on the beach with your family and friends competing in six easy to play sports designed specifically for the Wii.,https://www.pricecharting.com/game/wii/big-beach-sports
wii,Big Beach Sports 1 and 2 [Double Pack],,Everyone,THQ,none,Sports,785138305608,5298549,none,https://www.pricecharting.com/game/wii/big-beach-sports-1-and-2-double-pack
wii,Big Beach Sports 2,2010-06-18,Everyone,THQ,none,Party,785138303260,21611,We’re going back to the beach for more fun in the sun! Big Beach Sports 2 features 8 sports mini-games designed to provide fun for the entire family!,https://www.pricecharting.com/game/wii/big-beach-sports-2
wii,Big Brain Academy Wii Degree,2007-06-11,Everyone,Nintendo,none,Other,041496900115,6785,"This rethinking of the popular Nintendo DS game will test players brains with fun problems and allow people of any age to play together. The Wii Remote controller's hands-on control makes playing a cinch. Multiplayer versus and co-op play modes also have been added, allowing players to use the title as a brain-training exercise or a raucous party game. In split screen two-player versus mode, the same puzzle problems will appear in a different order -- The first player to get 12 correct answers wins.",https://www.pricecharting.com/game/wii/big-brain-academy-wii-degree
wii,Big Buck Hunter Pro,2010-01-01,none,none,none,Other,039897244594,33879,none,https://www.pricecharting.com/game/wii/big-buck-hunter-pro
wii,Big Buck Hunter Pro,2010-01-01,none,none,none,Other,039897244587,33879,none,https://www.pricecharting.com/game/wii/big-buck-hunter-pro
wii,Big Buck Hunter Pro Gun Bundle,2010-01-01,none,Jakks Pacific,none,Other,none,33880,none,https://www.pricecharting.com/game/wii/big-buck-hunter-pro-gun-bundle
wii,Big League Sports,2008-11-11,Everyone,Activision,none,Sports,047875757370,15963,none,https://www.pricecharting.com/game/wii/big-league-sports
