Console,Title,Release_Date,ESRB,Publisher,Developer,Genre,UPC,PriceCharting_ID,Summary,URL
nintendo-ds,Asphalt Urban GT,2004-11-17,Everyone,Ubisoft,none,Racing,008888162193,3985,none,https://www.pricecharting.com/game/nintendo-ds/asphalt-urban-gt
nintendo-ds,Assassin's Creed II: Discovery,2009-11-17,Teen,Ubisoft,none,Action & Adventure,008888165347,21548,none,https://www.pricecharting.com/game/nintendo-ds/assassin's-creed-ii-discovery
nintendo-ds,Assassins Creed Altair's Chronicles,2008-02-05,Teen,Ubisoft,none,Action & Adventure,008888163398,11905,none,https://www.pricecharting.com/game/nintendo-ds/assassins-creed-altair's-chronicles
nintendo-ds,Astro Boy: The Video Game,2009-10-20,Everyone,D3 Publisher,none,Action & Adventure,879278320161,19791,none,https://www.pricecharting.com/game/nintendo-ds/astro-boy-the-video-game
nintendo-ds,Astro Invaders,2010-07-06,Everyone,Zoo Games,none,Action & Adventure,802068103378,30893,none,https://www.pricecharting.com/game/nintendo-ds/astro-invaders
nintendo-ds,Astrology DS,2009-09-22,Teen,Deep Silver,none,Other,895678002353,21743,none,https://www.pricecharting.com/game/nintendo-ds/astrology-ds
nintendo-ds,Atari's Greatest Hits Volume 1,2010-11-02,Everyone,none,none,Arcade,742725281899,30642,none,https://www.pricecharting.com/game/nintendo-ds/atari's-greatest-hits-volume-1
nintendo-ds,Atari's Greatest Hits Volume 2,2011-03-08,Everyone,none,none,Arcade,742725282001,31036,none,https://www.pricecharting.com/game/nintendo-ds/atari's-greatest-hits-volume-2
nintendo-ds,Atelier Annie: Alchemists of Sera Island,2009-10-27,Everyone 10+,NIS America,none,RPG,813633010182,19887,none,https://www.pricecharting.com/game/nintendo-ds/atelier-annie-alchemists-of-sera-island
nintendo-ds,ATV Quad Frenzy,2005-11-14,Everyone,Majesco,none,Racing,096427014133,3987,none,https://www.pricecharting.com/game/nintendo-ds/atv-quad-frenzy
nintendo-ds,ATV Quad Kings,2010-03-02,none,Storm City Entertainment,none,Racing,814157010085,35218,none,https://www.pricecharting.com/game/nintendo-ds/atv-quad-kings
nintendo-ds,ATV Thunder Ridge Riders and Monster Truck Mayhem,2007-08-15,Everyone,Zoo Games,none,Racing,802068101084,3988,none,https://www.pricecharting.com/game/nintendo-ds/atv-thunder-ridge-riders-and-monster-truck-mayhem
nintendo-ds,ATV Wild Ride,2011-03-30,Everyone,Destineer,none,Racing,828068213237,32832,none,https://www.pricecharting.com/game/nintendo-ds/atv-wild-ride
nintendo-ds,Australia Zoo Quest,2008-12-16,Everyone,Dreamcatcher,none,Puzzle,625904582911,16345,none,https://www.pricecharting.com/game/nintendo-ds/australia-zoo-quest
nintendo-ds,Avalon Code,2009-03-10,Everyone 10+,Marvelous Entertainment,Matrix Software,RPG,853466001148,16408,none,https://www.pricecharting.com/game/nintendo-ds/avalon-code
nintendo-ds,Avatar The Burning Earth,2007-10-01,Everyone,none,none,Action & Adventure,785138361338,10253,none,https://www.pricecharting.com/game/nintendo-ds/avatar-the-burning-earth
nintendo-ds,Avatar: The Game,2009-12-01,Everyone 10+,Ubisoft,none,Action & Adventure,008888165439,21056,none,https://www.pricecharting.com/game/nintendo-ds/avatar-the-game
nintendo-ds,Avatar the Last Airbender,2006-10-10,Everyone,none,none,Action & Adventure,785138361161,3989,none,https://www.pricecharting.com/game/nintendo-ds/avatar-the-last-airbender
nintendo-ds,Avatar the Last Airbender Into the Inferno,2008-11-12,Everyone,none,none,Action & Adventure,785138361697,15971,none,https://www.pricecharting.com/game/nintendo-ds/avatar-the-last-airbender-into-the-inferno
nintendo-ds,Away: Shuffle Dungeon,2008-10-30,Everyone 10+,Majesco,Mistwalker,Strategy,096427015611,18512,none,https://www.pricecharting.com/game/nintendo-ds/away-shuffle-dungeon
nintendo-ds,B-17 Fortress in the Sky,2007-06-19,Everyone 10+,Zoo Games,none,Racing,802068100797,11725,none,https://www.pricecharting.com/game/nintendo-ds/b-17-fortress-in-the-sky
nintendo-ds,Baby Life,2009-01-01,none,Ubisoft,none,Simulation,008888166498,35222,none,https://www.pricecharting.com/game/nintendo-ds/baby-life
nintendo-ds,Baby Pals,2007-11-19,Everyone,Crave,none,Other,650008500066,10476,none,https://www.pricecharting.com/game/nintendo-ds/baby-pals
nintendo-ds,Babysitting Mania,2008-09-23,Everyone,Majesco,none,Strategy,096427015437,14660,none,https://www.pricecharting.com/game/nintendo-ds/babysitting-mania
nintendo-ds,Back at the Barnyard Slop Bucket Games,2008-10-20,Everyone,none,none,Action & Adventure,785138361963,15791,none,https://www.pricecharting.com/game/nintendo-ds/back-at-the-barnyard-slop-bucket-games
nintendo-ds,Backyard Baseball '10,2009-03-26,Everyone,none,none,Baseball,742725277502,19787,none,https://www.pricecharting.com/game/nintendo-ds/backyard-baseball-'10
nintendo-ds,Backyard Baseball 09,2008-03-25,Everyone,none,none,Baseball,742725275799,16237,none,https://www.pricecharting.com/game/nintendo-ds/backyard-baseball-09
nintendo-ds,Backyard Basketball,2007-09-25,Everyone,Humongous,none,Sports,742725275508,18553,none,https://www.pricecharting.com/game/nintendo-ds/backyard-basketball
nintendo-ds,Backyard Football,2007-10-23,Everyone,Humongous,none,Football,742725275461,10254,none,https://www.pricecharting.com/game/nintendo-ds/backyard-football
nintendo-ds,Backyard Football 09,2008-10-21,Everyone,none,none,Football,742725276673,15788,none,https://www.pricecharting.com/game/nintendo-ds/backyard-football-09
nintendo-ds,Backyard Hockey,2007-10-02,Everyone,Humongous,none,Sports,742725275515,8548,none,https://www.pricecharting.com/game/nintendo-ds/backyard-hockey
nintendo-ds,Backyard Sports: Rookie Rush,2010-10-20,Everyone,Atari,none,Football,742725281240,30312,none,https://www.pricecharting.com/game/nintendo-ds/backyard-sports-rookie-rush
nintendo-ds,Backyard Sports: Sandlot Sluggers,2010-05-25,Everyone,Atari,none,Baseball,742725280502,21317,none,https://www.pricecharting.com/game/nintendo-ds/backyard-sports-sandlot-sluggers
nintendo-ds,Bakugan Battle Brawlers,2009-10-20,Everyone 10+,Activision,none,Fighting,047875759916,19766,none,https://www.pricecharting.com/game/nintendo-ds/bakugan-battle-brawlers
nintendo-ds,Bakugan Battle Brawlers,2009-10-20,Everyone 10+,Activision,none,Fighting,047875761438,19766,none,https://www.pricecharting.com/game/nintendo-ds/bakugan-battle-brawlers
nintendo-ds,Bakugan Battle Trainer,2010-03-21,Everyone,Activision,none,Fighting,047875761612,21108,none,https://www.pricecharting.com/game/nintendo-ds/bakugan-battle-trainer
nintendo-ds,Bakugan Collector's Edition,2009-10-20,Everyone,Activision,none,Fighting,047875760899,19814,none,https://www.pricecharting.com/game/nintendo-ds/bakugan-collector's-edition
nintendo-ds,Bakugan: Defenders of the Core,2010-10-26,Everyone 10+,Activision,none,Other,047875761575,30302,none,https://www.pricecharting.com/game/nintendo-ds/bakugan-defenders-of-the-core
nintendo-ds,Bakugan: Rise Of The Resistance,2011-11-08,Everyone 10+,Activision,none,Action & Adventure,047875766549,32085,none,https://www.pricecharting.com/game/nintendo-ds/bakugan-rise-of-the-resistance
nintendo-ds,Balloon Pop,2009-10-23,Everyone,Tommo,none,Puzzle,695771802481,21696,none,https://www.pricecharting.com/game/nintendo-ds/balloon-pop
nintendo-ds,Balls of Fury,2007-09-27,Everyone 10+,Zoo Games,none,Sports,802068101213,8550,none,https://www.pricecharting.com/game/nintendo-ds/balls-of-fury
nintendo-ds,Band Hero,2009-11-03,Everyone 10+,Activision,Vicarious Visions,Other,047875959910,19905,none,https://www.pricecharting.com/game/nintendo-ds/band-hero
nintendo-ds,Bangai O Spirits,2008-08-12,Everyone 10+,D3 Publisher,Treasure,Other,879278320086,14448,none,https://www.pricecharting.com/game/nintendo-ds/bangai-o-spirits
nintendo-ds,Barbie and the Three Musketeers,2009-11-03,Everyone,Activision,none,Action & Adventure,047875760233,19932,none,https://www.pricecharting.com/game/nintendo-ds/barbie-and-the-three-musketeers
nintendo-ds,Barbie as the Island Princess,2007-10-30,Everyone,none,none,Action & Adventure,047875754010,10255,none,https://www.pricecharting.com/game/nintendo-ds/barbie-as-the-island-princess
nintendo-ds,Barbie: Dreamhouse Party,2013-11-12,Everyone,Majesco,none,Action & Adventure,815403010316,34593,none,https://www.pricecharting.com/game/nintendo-ds/barbie-dreamhouse-party
nintendo-ds,Barbie Fashion Show Eye for Style,2008-09-23,Everyone,Activision,none,Other,047875756892,15086,none,https://www.pricecharting.com/game/nintendo-ds/barbie-fashion-show-eye-for-style
nintendo-ds,Barbie: Groom and Glam Pups,2010-11-16,Everyone,THQ,none,Action & Adventure,785138364162,30733,none,https://www.pricecharting.com/game/nintendo-ds/barbie-groom-and-glam-pups
nintendo-ds,Barbie Horse Adventures: Riding Camp,2008-10-21,Everyone,Activision,none,Action & Adventure,047875756977,18498,none,https://www.pricecharting.com/game/nintendo-ds/barbie-horse-adventures-riding-camp
nintendo-ds,Barbie in The 12 Dancing Princesses,2007-01-14,Everyone,Activision,none,Action & Adventure,047875753259,11216,none,https://www.pricecharting.com/game/nintendo-ds/barbie-in-the-12-dancing-princesses
nintendo-ds,"Barbie: Jet, Set & Style",2011-09-20,Everyone,THQ,none,Action & Adventure,785138364988,31746,none,https://www.pricecharting.com/game/nintendo-ds/barbie-jet-set-&-style
nintendo-ds,Barnyard Blast Swine of the Night,2008-02-15,Everyone 10+,Zoo Games,none,Other,802068101527,14471,none,https://www.pricecharting.com/game/nintendo-ds/barnyard-blast-swine-of-the-night
nintendo-ds,Batman: The Brave and the Bold,2010-09-07,Everyone 10+,Warner Bros,none,Action & Adventure,883929123612,21994,none,https://www.pricecharting.com/game/nintendo-ds/batman-the-brave-and-the-bold
nintendo-ds,Batman: The Brave and the Bold,2010-09-07,Everyone 10+,Warner Bros,none,Action & Adventure,883929124367,21994,none,https://www.pricecharting.com/game/nintendo-ds/batman-the-brave-and-the-bold
