,PC_ID,Title,loose_price,cib_price,new_price
322,200107,Flea [Homebrew],,,61.00
323,8981,Flight of the Intruder,10.90,47.29,189.00
324,13107,Flintstones Surprise at Dinosaur Peak,"1,425.00","3,113.26","12,453.00"
325,8983,Flintstones The Rescue of Dino and Hoppy,27.00,109.99,440.00
326,12234,Flying Dragon,8.66,44.50,157.50
327,12235,Flying Warriors,21.38,79.99,320.00
328,14550,Formula One Built To Win,34.80,87.77,351.00
329,12236,Frankenstein the Monster Returns,122.26,409.98,"1,499.99"
330,12237,Freedom Force,19.50,52.50,210.00
331,12238,Friday the 13th,14.50,112.21,366.04
332,3001668,From Below [Homebrew],,,149.94
333,4598084,Full Quiet [Homebrew],83.00,130.00,
334,4408985,Full Quiet [Limited Edition],,,
335,12239,Fun House,15.49,51.49,135.85
336,32330,Galactic Crusader,70.24,149.99,600.00
337,11991,Galaga: Demons of Death,12.50,50.06,194.31
338,5490834,Galaxian [Homebrew],,,
339,12242,Galaxy 5000,26.29,146.98,588.00
340,52012,Galf,68.28,70.89,76.21
341,68608,Galf [Gold],517.32,"1,810.62","7,345.94"
342,52013,Galf [White],73.35,,142.51
343,5428196,Gaplus [Homebrew],,,
344,4536058,Garbage Pail Kids: Mad Mike and the Quest for Stale Gum [Blue],,,184.99
345,4536059,Garbage Pail Kids: Mad Mike and the Quest for Stale Gum [Pink],,,
346,9012,Gargoyle's Quest II The Demon Darkness,109.93,360.66,"1,443.00"
347,12243,Gauntlet,10.92,39.45,338.50
348,39511,Gauntlet [Gray Cart],14.47,34.47,138.00
349,9013,Gauntlet II,9.59,41.37,170.05
350,9018,Gemfire,174.75,274.95,"1,100.00"
351,12244,Genghis Khan,19.05,55.00,203.47
352,9025,George Foreman's KO Boxing,12.73,35.05,168.41
353,2296231,Germ Squashers [Homebrew],,,
354,3366475,Get 'em Gary [Homebrew],,,
355,9029,Ghost Lion,123.00,279.99,"1,120.00"
356,12245,Ghostbusters,14.53,125.81,503.00
357,9032,Ghostbusters II,15.00,101.69,502.01
