Title,UPC,PriceCharting_ID,loose_price,cib_price,new_price
George of the Jungle And The Search For The Secret,650008400045,14415,4.95,5.97,10.44
Ghost Squad,010086650099,10879,8.07,10.12,19.18
Godzilla Unleashed,742725275539,10544,27.99,35.5,89.95
Gormiti: The Lords Of Nature,083717401124,22026,7.3,11.89,13.55
Guilty Gear XX Accent Core,893610001068,10354,11.79,16.62,44.07
Gunblade NY & L.A. Machineguns Arcade Hits Pack,010086650440,32823,67.99,72.57,101.99
Harvest Moon: Animal Parade,719593120094,19965,24.9,25.46,53.71
Harvest Moon: Magical Melody,719593120056,19512,13.04,13.81,22.77
Harvest Moon: Tree of Tranquility,719593120018,15639,14.18,14.99,24.97
Harvey Birdman: Attorney at Law,013388350049,11055,8.21,9.5,14.99
Haunted House,742725281905,22142,6.97,7.35,15.17
Help Wanted,083717400813,19074,6.98,8.38,16.49
Hooked: Real Motion Fishing,893610001051,10372,5.57,5.9,39.99
Indianapolis 500 Legends,828068211530,10548,3.83,7.49,7.74
Jimmie Johnson’s: Anything With An Engine,083717401230,31847,4.72,5.0,11.4
Ju-On The Grudge Haunted House Simulator,853466001223,19748,70.0,89.99,228.15
Kawasaki Jet Ski,828068211721,11870,4.89,5.63,11.73
Kidz Sports: Ice Hockey,828068211776,14113,5.09,5.68,10.18
King Of Clubs,650008500158,13217,3.49,5.74,8.25
Kirby’s Dream Collection Special Edition,045496902933,33056,42.0,54.96,119.98
Kirby’s Epic Yarn,045496901998,30334,13.0,14.97,35.88
Kirby’s Return To Dream Land,045496902643,31877,23.24,26.71,62.47
Klonoa,722674800181,18739,32.17,37.03,127.14
Kororinpa Marble Mania,083717400523,7369,17.94,18.0,35.47
Legend Of The Dragon,855433001649,7372,5.41,6.65,8.99
"Legend Of Zelda: Skyward Sword Collector’s Edition, The",045496902667,,,,
Lego: Harry Potter - Years 1-4,883929085835,21566,4.82,5.93,12.5
Let’s Paint,802068103040,31360,4.57,4.98,7.61
Little King’s Story,853466001100,19407,24.13,24.73,36.25
Lost In Shadow,083717401063,30842,26.57,32.99,49.5
Lost in Blue: Shipwrecked,083717400707,15066,9.74,9.92,34.25
MLB Power Pros,710425343148,9362,10.0,10.53,27.25
Madden NFL 13,014633197334,33007,9.0,9.93,30.75
Madworld,010086650198,16397,11.42,12.99,23.73
Manhunt 2,710425341632,10357,12.53,17.99,47.7
Marble Saga Kororinpa,083717400806,16403,11.98,11.99,21.01
Mario Kart Wii,045496901028,13229,26.83,27.13,49.69
Mario Strikers: Charged,045496900212,6794,12.99,15.74,46.47
Martian Panic Complete,802068103170,30866,6.25,7.58,13.65
Metal Slug Anthology,828862900029,7385,14.78,21.51,42.61
Metroid Prime 3: Corruption,045496900052,7386,10.0,11.88,43.96
Metroid Prime Trilogy,045496367718,,,,
Metroid Prime Trilogy,045496901677,,,,
Metroid: Other M,045496901912,21969,11.19,11.25,24.09
Monster 4x4 Stunt Racer,008888175773,19876,5.6,6.36,15.52
Monster 4x4 World Circuit,008888173335,72756,3.15,4.45,13.98
Monster Hunter Tri,013388350117,21190,7.81,9.46,18.98
Monster Trux Arenas Special Edition Complete,815315000528,9370,3.95,6.0,12.22
Monster Trux Offroad,828068211707,11756,4.27,5.99,10.32
Mortimer Beckett & the Secrets of Spooky Manor,781735520284,15956,6.65,6.76,16.99
Mountain Sports,047875760332,19877,5.2,5.92,12.74
Muramasa: The Demon Blade,893384000267,19591,28.53,32.0,49.75
Mushroom Men: The Spore Wars,899163001241,16107,12.1,14.39,22.0
Myth Makers - Orbs Of Doom,828068211691,16207,3.78,5.75,12.95
Myth Makers: Super Kart GP,815315000498,10882,5.67,6.72,8.09
Namco Museum Remix,722674800020,10359,4.5,4.99,12.99
Need For Speed: ProStreet,014633359831,10553,6.11,6.22,16.7
Neopets Puzzle Adventure,013388350056,16147,3.2,5.88,8.46
Nerf N-Strike,014633159394,32918,5.36,5.75,12.0
New Super Mario Bros. Wii,045496901738,20014,23.3,23.75,50.0
