,PC_ID,Title,loose_price,cib_price,new_price
348,31927,Disney Universe,5.48,6.22,10.00
349,19295,Diva Girls: Divas On Ice,3.58,5.28,4.78
350,30289,DJ Hero 2,4.17,5.11,5.25
351,5134184,DJ Hero 2 [Not For Resale],,,
352,30290,DJ Hero 2 [Party Bundle],22.00,33.11,54.99
353,30291,DJ Hero 2 [Turntable Bundle],27.37,34.09,46.13
354,33428,DJ Hero (game only),4.20,4.55,5.00
355,19838,DJ Hero Renegade Edition,33.33,54.65,99.99
356,19834,DJ Hero [Turntable Bundle],6.92,24.12,48.74
357,21624,Doctor Fizzwhizzle's Animal Rescue,4.95,6.58,13.00
358,21633,Dodge Racing: Charger vs. Challenger,7.29,10.12,25.49
359,15727,Dokapon Kingdom,59.73,75.57,169.15
360,20386,Domino Rally,5.97,6.30,14.74
361,17473,Don King Boxing,6.32,8.57,16.33
362,8852,Donkey Kong Barrel Blast,15.00,16.04,52.49
363,30775,Donkey Kong Country Returns,13.98,14.71,37.43
364,30743,Dood's Big Adventure,3.83,4.51,6.21
365,30749,Dora's Big Birthday Adventure,6.05,6.81,8.91
366,19969,Dora the Explorer: Dora Saves the Crystal Kingdom,4.75,4.90,10.83
367,15831,Dora the Explorer Dora Saves the Snow Princess,4.79,5.89,15.00
368,22187,Dragon's Lair Trilogy,38.20,38.61,61.16
369,19795,Dragon Ball: Revenge of King Piccolo,31.97,40.00,59.99
370,7311,Dragon Ball Z Budokai Tenkaichi 2,17.65,18.98,49.63
371,10876,Dragon Ball Z Budokai Tenkaichi 3,40.32,46.00,150.00
372,4687188,Dragon Ball Z Budokai Tenkaichi 3 [Bonus Disc Bundle],,,
373,8863,Dragon Blade Wrath Of Fire,5.95,6.79,14.95
374,12099,Dragon Quest Swords The Masked Queen and the Tower of Mirrors,11.99,18.61,36.76
375,19874,Drawn to Life: The Next Chapter,4.25,4.46,9.38
376,71860,Drawsome Games,3.71,4.82,10.00
377,32377,Drawsome Tablet,14.48,18.83,27.88
378,32395,Dream Dance & Cheer,4.99,5.16,8.13
379,13145,Dream Pinball 3D,5.62,6.99,8.68
380,21665,Dream Salon,7.15,7.60,15.00
381,32271,Dreamworks Super Star Kartz,8.99,11.38,12.99
382,32273,Dreamworks Super Star Kartz with Wheel,8.94,12.41,25.00
383,6788,Driver Parallel Lines,7.54,7.71,28.49
384,31694,Driver: San Francisco,9.90,11.08,23.39
385,10543,EA Smarty Pants,4.00,4.47,9.79
386,19212,EA Sports Active,6.38,7.23,16.92
387,30745,EA Sports Active 2,7.05,13.40,27.00
388,5075776,EA Sports Active Accessory Pack,5.00,7.50,14.99
389,20017,EA Sports Active: More Workouts,6.27,6.95,14.00
390,4081429,EA Sports Active More Workouts [Game Only],,,
391,30736,EA Sports Active NFL Training Camp,4.37,8.00,12.50
392,37236,El Chavo,31.98,33.49,69.00
393,7321,Elebits,7.49,7.87,21.78
394,13816,Emergency Heroes,5.03,8.99,21.48
395,13222,Emergency Mayhem,6.56,6.74,11.61
396,11866,Endless Ocean,7.50,8.95,22.94
397,20777,Endless Ocean: Blue World,12.06,13.00,18.35
398,1313776,Endless Ocean: Blue World [Controller Bundle],15.33,22.22,44.98
399,30791,Epic Mickey,4.02,5.03,14.87
400,33400,Epic Mickey 2: The Power of Two,7.86,8.86,15.00
401,30792,Epic Mickey [Collector's Edition],16.67,38.95,49.95
402,2252594,Epic Mickey [Not for Resale],,,
403,6789,Escape From Bug Island,11.95,17.91,36.08
404,17651,Escape the Museum,11.19,11.57,18.97
405,7323,Excite Truck,6.69,9.95,39.67
406,18725,Excitebots: Trick Racing,8.66,8.84,24.99
407,747584,Excitebots: Trick Racing [Refurbished],,,
408,70388,Excitebots: Trick Racing [Wheel Bundle],19.91,25.88,29.23
409,31434,ExerBeat,7.82,13.80,14.85
410,32354,F1 2009,37.41,39.90,128.45
411,15953,FaceBreaker K.O. Party,5.70,7.25,14.18
412,19671,Family Feud: 2010 Edition,4.64,6.19,15.08
413,32431,Family Feud 2012,18.24,18.99,19.99
414,30701,Family Feud Decades,6.21,7.12,16.27
