PC_ID,Loose_Price,CIB_Price,New_Price,Image_URL
3723,110.86,345.61,766.92,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97Ogu_2vc-Hf7j9Gh46TWaBCjsDaIG-xF2rCtRxRUVWqCf8JUpWf6lTMaJJEunqPFNqsaVGcpiwEAT68DyzaIv369Qj-JDpLUmQA8Nuoa3EHKA19aSF5bKcMur5NMaC3O9f7_2EQRnNL0-k_QaIflcfcvX_nA/60.jpg
3724,28.99,113.45,352.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv953sHeWsmffnuXH8fzMOWJCJkQnIhNPEuCjv36qc6ZchtSibXZ6U6na-opFWEt621eraFuZykMO3J1YX7crz3_j_cQSglu_aRJy7jnE64ix0F4jW6kcxkq9TGCbc17oN10j0c3T_4afCjdLYulM2DNfYktnWg/60.jpg
3725,51.82,217.75,675.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94qacXiTozx-AzLgiSI_sRg9yM7LyOmD4wJmf0l8tMTlGV4zE8BTOkQJLDKhlhAiy4RJpFOojmpYyorx8XWyQP3lWh8tdX5B7fAIiqbFEStfEcPiTDM3iN7xdRN6xf_3dlAbdmsf7tCWRxTerTzSa5k0-dTWw/60.jpg
3726,34.36,210.00,426.54,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv962szZIDE3lJR_rVeo78DwyABAGc1otm4jEMDCziu4JJS3Pjm-hakB7OlOR2ES25qVt-Sh0zbAtbhcVzWd1EipkjPUuRoNVR4cqUFZ_zdxRAXv5kevDF2EqpzeiI6lbBPB8Twj8PoOrlhkCXp9DRVO1_o2vNQ/60.jpg
3727,10.60,35.62,150.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97qv8oPW2YxR1pihpqj0DxMDXFtO-bQ_DldJ7iFpYLzfXuipbDmPtTB6kzGxxjzo016gANV9u8yWTg0LNTMllUYQazcCa7GSW6CFpxxcip-7wNZEXBvhK5suNqx8DzUAGwD5XeZohO0jFCCT_zVmDNKydN1bg/60.jpg
3730,23.61,137.99,645.47,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95mMrAFY-QT4TqK3ELhhG1F1nLg-Qg9ukVVeiHTN_ViICi2BKsaPzWu-v6knPpYL_ei3QVxK7W5Jn0o5gTxWJfHOEX-jjctlwDEB037o1FqO3Lu3NUYwJglo0jpsg5zKukJUeV5z9CVyz1dHE8A-dZg2cZDKg/60.jpg
3729,"1,000.00","5,200.00","16,120.00",https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94oysFctnkZ8gjeu4B87JaKnoW5Ib-LrGtozzJ6BQHctmpeD9rGXs4DCeapdtHrsrsGDyTM_fwFeDok-djdeNaLjjGb39iE4XUi6uf1CTarvHupS3Y-oBZKjhev-A2ZfzzIUgoL2BQ1vxwvm_aobW83rLOClw/60.jpg
3731,14.03,47.79,125.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv978mk6XINqyzKaEkr3gboWJklx9ru_01YJ-4ReHCtk2obmknIrarp4Ydt7w1BTZ6DuZjjDN-gW2ukm-6OCNIbba63Af2GOnHXFuwVOWSWufgLVNm9rDNDObdCVEJBeQ50Y5kaOOc3mqrKb2cosB-yBk0FfZfA/60.jpg
3732,112.50,244.79,615.81,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94utlmsg8lJGLz9NSKXBNzKNu0k36Q7D5wW36ApvFvgeQilcaM34MNMo5Bmw9n1LnO3OEAEzg0bXOjqpLJx_yereIVPtldN51IJjxsGFqioaZw-wCvD7uB1er4Ia8MZKIOfvc8E4VN35SbqHvrIAnwkNN5bXA/60.jpg
3733,33.22,110.09,392.13,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94cfXOago9tqJqb_6JIYONY4xvqMmo7aNLfNkNRE1QeieBLAqRwkwqxAv4G_cC0LINwO97iz9x_HwKTmzhbcP2zKsD5xoEhJ1yBplilr0P-WAdbMPdOSFyeQKCqKMRMaIn7vkbq4orFvRxDBVtQQRfjoUm7ZQ/60.jpg
3734,13.75,45.49,540.25,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94FLNUxPZQip2ErZRZbozkW58BbpexC_Uan_MkS_NFgE-tOw-WwqbeC29XkJ0BRJZDLsxlckXnWclzprJfRrhyeqQNyBNwVa5cAj-Ec0jRouIeXeIjoEkfHSoXpNHbPb6e_6q4ntaQWznimuWIP1gc-ITMUFw/60.jpg
3735,18.38,56.11,700.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95D-5xNUc6DUCJ9hFGVY_Vu6NJp5swTDwjQ_8VwhgFpovdoS-BVc3okm8Z0TBuSo0009AkVqYqJOXLcSzz97q3rYOq8CwtoVm6RimZTtXpQlK9V1PX_LtHPOuaXphbzla_pHtHbjNfpyJvk-gHrFSz0kOgR-Q/60.jpg
3736,14.84,70.50,251.94,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94uyLybiwooPu8dE4u3v9Y_E4yAD7cYFaeGPUF1NeO1_KYGGdR7KgQzrjGTX26e16e3ymXJ0vbEaV4Fly75CnJI7RZCRTMajyKpnvKPFL10YR7JguqffIinxsxlEfCFsiZZNoy4C61hU2JFNCy0qnIhL_9JPg/60.jpg
14429,79.99,535.52,"1,660.00",https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95m-SdVlga46N-aOtnjbYxW2UgiJ7BRSNg6-q54Yk00IYY5QjFfiStbdtS5eJVyDRNpsT-MLp2eYaE_upXUNwYYe-GzHkqvYi7C6lLfcHKRPGjsh1RZ-72fY0bgarIo3eZSaFvK5trjS9eCg_0DrGC3oW9NDQ/60.jpg
3737,7.69,39.58,122.50,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94f6WQznYA_SIpQUXzALiL19OttQUt_IkGUfjaJPEiRoCOQMWYE9EScAsdYsp9Q2UGoLwXF7SjNCT_QVtGkpz4n_dRxdnUEVkN2UBPGkqLE2PNNAV_tuMgMTccd_YxRYbgwYSFEsId1HbW-QpTh7ih0hMrK_w/60.jpg
3738,34.21,132.43,279.19,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94ll7vh-mY9blI0weLVt_0t-6UkXorLqggfsXfAbph2winqTiOVfAccCngasGMuy2Y6rLJikepdorSk40RluTzp-G7RQ1Cre9JG4ElzKREvxmPLcGz_TBltlMLvzUUFddS-FRfnUz9fHvdK_V8LS5OFTFn6IA/60.jpg
3739,19.27,67.14,325.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv9537GvSIWz3rnEpaFoxILpdOXL-pmCO3PgMktbjbGXYrzSFsatstMaV-QXWsWuDb-BWS5NzBzBy2iDSBFz1FIDN-jKvuf9M6Hv-X_FDgJiitbVegXUD7OgGXwpCfvjUHHpTqb_iV7wTWKUODwZJmrPGL-iqig/60.jpg
3740,20.25,71.50,299.80,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95TVWE_IUchNwqf3JEDGxZeiSeHt4nRS4dqj87j3sHrUKalSSaWm2YOYINF3xG6KI_KFndUwZ2Th-pXX9vMijkiKlJjsGHfFynd00314WMAOhhqc0uMq4Hx8ppGHkip46wBbT35xP_1uHoQwkI0CfB1jsHP4Q/60.jpg
3741,44.99,190.47,590.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97vxgilDb7jZDX8f0sX2uXOD1SX16IOm6_reHlExQMpafcZ7X7KcjyEN3HJmACVi1zXRylK7BYTRLb4_cwJRlsIsLJ_fIoD4hKLYR7ctjZkQ0mAWyuBiD2hsWxVTMT2nEAR0I0YcX499xIRvucmiDH5nLN0oQ/60.jpg
3742,26.16,80.00,248.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95-7P3kU5mLEXWXTF-YgUeMV7473UDjqyU4lnOMCEjaWA5tOHUAfvtMW-kgUj8DhetDXkt_yxblIacOx9XZMJT-YZOjNEQJIF_zZzyqWfXDG8QX39UWkEggTIZFlEEJC7XoLsrHeouoTkdlpCF3iswBODxr8w/60.jpg
3743,26.75,76.87,550.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97r67JC7cDx29JstzArNpcuT2MA-9W5S352bMkJM7TN2Vw0P24sqRBxZnHvOztM2e6X2SkdOZy_DuJVlMf00IiC818t6ijn5pQou6IplZ-C_0xf1jpSHCG5mtfA-mzmJOrUD4GQMBAPGo0ifj56vB75ApUBXQ/60.jpg
3744,21.99,57.24,307.83,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95kMH8xg_T9vdBECx5oSbVvBqQOOnThCelhqJAAXr1JEiIrJPH8Wu6hyBXEaKQXfCUF_-Jb8-WWPfkUkuMJflPTXVzU34Ey8N5ZTCu5IPmkEb1XrTx2gSnCRjICl0LvKZhYwgnyLpZVIj2Sc-_KrKyJOosZ5g/60.jpg
3745,19.48,126.78,194.08,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97ydr2P1nO-EGWXKb0ODNVPyMp_ywCUuk9WNCnzS3nLpyamCxG1V-WQCgBB6etQ6sHqMcUmP3g7niL_PDD-Ng3eQQwFsMCveXL1nfW7wpYLnEUeMIMzq2cuk-OdwrQpufVvx-I7-UeHT-vS6GS0kCJRps5KPQ/60.jpg
3746,92.49,298.75,438.01,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95OyVcHM8CzC1z1HNs3-EhCIfIUFhiDomivbFEuEknCINMiarf2KFpqzqXw05NPfLo0_b4xRd9pE5w3rMutvbD6XeaYsKSSRLXa_OoVA7houc3LMFRtuek5MqRWdQJp479sYJPu9fpmi-41ASlvVSuzg0Ykpw/60.jpg
3747,20.36,62.15,250.43,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv958ee6Ftqo2Wa7fuKobGxw7PSCMuJJ25R_9f8oZdHkb3FU21SOIPaTyUQr_ApJEebevSHQEN5HIV8uLT0A4WdD4eflmwo4ZJCsYQvGYCJT5k5TbcqO17WK9kPPidhuwNUadK6lHJrOuXPVpHstQKQoyMhAQqw/60.jpg
3748,18.77,70.93,246.25,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97qrisYWImho4lJQtexSZj4FbIARfjN-DvCihTY_ZjSJl4g3D_1J0LZCry8vhhWj45Bv-EMD3uMWCUPjN5k0yrm6T9n-ri_fRVSmnTpc8k_mdZNxYbdpKCIF1lE2kjJQCWpwTkZXV4RZg52C8pr3TWTfy4ZzQ/60.jpg
3749,59.17,213.21,628.68,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97E_LlyrsBCkvAe8DbFIUskJbfEI7ZzX07I49QnXeVVS-B0epmnc98TMbZxy4KGKCqO2cKuhAEwAUvqbLlTHSNnUC8p63-nKLaJ4mlmzAPis7C4IUPB9oyjeP_i8O_yLdaALIcP8ReNa3H1fTDSuVO4v7oFWw/60.jpg
14158,10.00,40.00,69.93,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97ShNKFbPJXwxPDoxt4QaeDZGpE8eQfsdcDvelvWNfvu_BOoF2Jrz2jMoc9yauclhYc165evyGY80jq-l2B0nFJaqN1OungjQHL4a_eTbQrw_J0ZWXVUbG0T0xj5zk6TLVWwJADFaE-h_kK7RNhks2uNH7gew/60.jpg
3750,13.95,75.52,250.07,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96r9oxrVSgHvGykfAGdZe5BF33sSarTXZdacyHAvIUDAkpUQt0tXpTKvBwBEtfCwaFRUTzcJcc_iub5NmzKf4IaE0iVi6nqAjdjyyegIEO3zitljVEhzCnoZ3SRhOyBvenzO58W1JDsjx8r4NpTAf44dyNvOA/60.jpg
3751,12.25,71.57,200.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96M7bvnq6DATvi6S_IAnGZCKsGd2lSlDiGVmgis_e2i0bfPT7bDso4MYVvQBwBJ2cCN7Jqt_pE9adv5GDeHAzCx2vU1ZOgvjuVfqirR0C9c5rj3IF10uswscyB1xAoxwagM4dpuEW3aHycQg-jT0OwLkcerTg/60.jpg
