PC_ID,Loose_Price,CIB_Price,New_Price,Image_URL
11739,5.12,8.05,9.95,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97qAgmOBRsbNsEQ4pNobHgmy0yEnifRDpPFGv1nUb9z0x9rmqOC9ykiUiZBKBFmAr05oD5ly5xiSHSoCwMRJeWPuHIO4wX2MN4Nn5IN182I9WozBy3aUaHD2pY-5R9KYNrWTxyshIgiGG1h7hnDKtbz0gs88w/60.jpg
1983,7.75,18.97,30.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95xXLQWonSoiePBiomhwNK7-8GeIzA9al5wwITsQdYUUKK3EEr6GyV76Ds6XFpmmFV8nfUCkOULYJ06agaErrh15JLqWskYIzllWDHj7fAKpKKHQO21cgD3L-O1-kqmVMPilWJGMyTyyzjcNWPRa_CNLj9BBQ/60.jpg
11700,16.47,75.00,80.01,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95AHWJocaDGQvDLoI4lE0mHE546wmtsi_YkbFVW87PmDikWDxJeUqXR-hV-vDGs1oWthLuJVVg8s5kt6fDtCutQivpQzXyeVmTiWY97WSeekFF5GN8YL4DSJwK9SODW6XtJFibYoPKXxQYjHhAG-tTdh5kuSA/60.jpg
11698,14.00,81.67,122.50,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97CQorZGOiJd18FZAIOMSgTDeJ0BxS5BBto8CTf4AD2QpPnLYO3RGs2pUwpXjeDOiNE3JuFmBZ0Zdlgzy3zK-IBjS5ImM9MGoc4Xr-gOlAsjA0mPRvqmdiXKELU2i9BPotd32FD1AR0f8r7ti66SoeZbghO0w/60.jpg
11429,3.81,15.58,22.95,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94DasqIyPEjDL8NkYl_qcMR2pHNSzuvtWEr28gzS3a3g18k6fMOssUDgHrmqApJUW-A7uK-3cTP31MTuGVOZmVYP9qVssEY9kFlt82pyQX8SKIzGr1AfVvNu--pMsDujfknUw0mVi7mkQkeE-IHge9bOCLQyw/60.jpg
1984,4.20,5.23,8.10,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96PtGvV0Xtr8V3RR3H-1zQxrSMY2DhdSzviqIkPsdvWjsOZ7JtpnS75H7qxKv9zTPBF88JjVF-E-rVkR7AcoEFxZX6LVTiM-h1BMjiNzxgs9iHObkUUMxyzxzPKWcLINm3Zh3GWORCk9F9VNBOxHeAfBX-48w/60.jpg
1986,61.00,138.05,261.62,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94zSx-ydcD8nlUFTSxmAImBVebllpqlQtI3DfZcfl_SmOHff84Quo3bkSvnnhvUtponFe9-pLdwRY5miBho-YTVwxbrvcsg3rRtnehHimJ65hrcUxQhqMdD6WBxzGslewrSRX9c8IMTo1E0-wKwN5L_ozehdQ/60.jpg
1987,11.03,19.99,30.77,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97gPBpc-ijCEt-Ben8O57e9jOjxaXXRExtEUHmKcvQ4yRv0mYVGgml_G-DYcsGuOpeJLmjkRH_wfflTj56kPQc8z_HjZ1CkaaeLu1mMdHCKpbF6RLbfHBTViACQtDs9qL9GlRxGQFPWBbhJOQTJYBwq8YXqlg/60.jpg
1988,5.18,20.22,26.24,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv965wAKUwzn09T8nvuE5e5SyGXWtxB6MiWT-aR5kT5l9TJanHGfPlNHT6ffHc4wqISbYBCNo3IS_228zyylRPVs601O8p_GUxnYQ05l21XUSBryYHSHxCtYCHYQLXUlpbr0kfAMkdXdiQegvp6Lt-kUj5uoV0w/60.jpg
1989,5.21,8.60,13.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94jCa-XBKkGxfDOC8lJmllzbI5RPZTrYXAmKy4xRz49VExpZsoLPDQgu3ez-7d0FD_sQ9JGoaL8PpIDdasziy1rDoof2FCy1Bad1trV_j3nLPWRGCfiN1166ofbX-HhNx99TbYThf-KPhaY93Agz08sXcpC5A/60.jpg
