Price_Date,PC_ID,Title,Loose_Price,CIB_Price,New_Price,Image_URL
2024-05-19,18739,Klonoa,19.75,34.95,91.25,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94h297-TcA0DS89DItdNcRof_BlKPt_xrjUka2LSHPCvHi7LpyzwDE8a0ez2EL-ysQ7q0nTn3ZXktFt_fdFu2_rAb_9_4vbVI07TNjbhy_b4eAdv7HiGIv6dI1NSBWkxfd-YShNqHsgfB9mypDoxmaxnt4esA/60.jpg
2024-05-19,7369,Kororinpa Marble Mania,16.52,21.46,34.96,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94XbXu3-iYygg9kbf_4Praf1BdEGCp80IV0p5BsCts8GtRVd962n4NozyeQq1kfaHmT8G2IMS7IcAp9QZrejORuc0Qwa3bvgJXZrNfRZyKmg2hZNKxuV2ivGYZeZ_THzCxzyRQCLeJoj_neZo9jAmsBAr09Fg/60.jpg
2024-05-19,32356,Zelda Skyward Sword [Controller Bundle],59.36,67.73,175.96,https://commondatastorage.googleapis.com/images.pricecharting.com/8c070af59b4000b75bb1944a4917b33615d140d7faff15df3930da65d719cd91/60.jpg
2024-05-19,19407,Little King's Story,20.82,22.44,36.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94S2AI1nCO4nUUyaXnB9hjfLlQrcg3_ZuUYE4r2U7PLUGAaVhFgE_Y1Dn5VGx2M0mw2jylRv-ABHPm89-R7tF6XqrNyMAz_B6TemnytfgiuPhAykZ_PL68-AF8fJiapd6rnzSyNujbze9T_EmSp1PfMZytvcg/60.jpg
2024-05-19,30842,Lost in Shadow,19.99,29.59,44.04,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96-tG_iPJDWLsxxJgiY00Uxrxboiq_sAotquG5ug29DWcw4dP5Iun2he-gq0YdfM91FVI5f2-M8O8NdzEQLlPdt4hDPKw8xI_bEk2uqEc_elpgWZd3J713mPBAvhKlRy9H-UfL8gl-82DVPxuNn83b9n7f6Hw/60.jpg
2024-05-19,16397,MadWorld,11.59,12.05,21.43,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv9602SSs0UqamRLW1WJCIDibxO02B3f8PqyyO0CbSSKTbfCFUNxaBLs5rr1FAjjzh6vlhnur09kaB4Hrs9Za4DNnrU5UcBfC4m8t5GPZrJVgSsJDO2M176P263zx-PWMB3vw1-_VtMrnBIAVpZdb9eQd2EuOXA/60.jpg
2024-05-19,10357,Manhunt 2,13.46,17.82,44.98,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97TnNGTyAm0WRGWNSDOh-y_SgPFrT8vS5l0gBnoDtyHPBMtu9Oy63v0NVdUyd_4JA8vumlqss0-aU1gIn7A2XNo4fW-JRVO8cGRHEZvwvBC2Gat_0RApmyULXrNQBTpf--yPYcMsM_T_YUFzWwAIlH6-DI48g/60.jpg
2024-05-19,16403,Marble Saga Kororinpa,8.99,13.61,20.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97-ucjvG_neNH1QfwClq32RH0GZF1EFtMEYesPUIvxjCIYOOtohFeQzMf6wZPtPdprhUuFeMd20OWppnriM0BbjHvxUrp3eI4zGYMtOJ5RjaEr97p4vL4K76rVdJgfJ1v9NmD190697MRFzFJrfqTHuJSUQTw/60.jpg
2024-05-19,13229,Mario Kart Wii,25.49,30.98,59.95,https://commondatastorage.googleapis.com/images.pricecharting.com/f792738d137b4c63f4cdea8f3c0b3ac81bfc39157a586408cb850b55c936fcb9/60.jpg
2024-05-19,6794,Mario Strikers Charged,11.99,15.99,47.14,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95RxQDaCO80cY_M8nm4oNxJfsFsBMJbEETezShTSGadNCvGuxpC8DchXplCmHoNsc32HGCGeXdoOn3u11HXv9Fgb9MRj-W223zlWYlSsAX3kDJu9L3KlH8tTgEHZiQ7gERiFWjksUFJtAXMz1zV6lx46VYr9w/60.jpg
